Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
457,Alvin and the Chipmunks: Chipwrecked,Fox,16-Dec-11,23244744,"3,734",Family Comedy,1 hrs. 27 min.,G,"$133,110,742 "
548,The Mask,New Line,29-Jul-94,23117068,"2,516",Comedy,1 hrs. 37 min.,PG-13,"$119,938,730 "
79,Return of the Jedi,Fox,25-May-83,23019618,"1,764",Sci-Fi Fantasy,2 hrs. 14 min.,PG,"$309,306,177 "
542,Mulan,Buena Vista,19-Jun-98,22745143,"2,953",Animation,1 hrs. 28 min.,G,"$120,620,254 "
520,Life of Pi,Fox,21-Nov-12,22451514,"2,946",Adventure,2 hrs. 6 min.,PG,"$124,987,023 "
9,Star Wars: The Last Jedi,Buena Vista,15-Dec-17,220009584,"4,232",Sci-Fi Fantasy,2 hrs. 31 min.,PG-13,"$620,181,382 "
499,My Best Friend's Wedding,Sony / Columbia,20-Jun-97,21678377,"2,376",Romantic Comedy,1 hrs. 45 min.,PG-13,"$127,120,029 "
496,Bumblebee,Paramount,21-Dec-18,21654047,"3,597",Sci-Fi Action,1 hrs. 54 min.,PG-13,"$127,195,589 "
486,Coming to America,Paramount,29-Jun-88,21404420,"2,064",Romantic Comedy,1 hrs. 56 min.,R,"$128,152,301 "
7,Jurassic World,Universal,12-Jun-15,208806270,"4,291",Action / Adventure,2 hrs. 4 min.,PG-13,"$652,270,625 "
544,Seabiscuit,Universal,25-Jul-03,20854735,"2,573",Sports Drama,2 hrs. 9 min.,PG-13,"$120,277,854 "
8,Marvel's The Avengers,Buena Vista,4-May-12,207438708,"4,349",Action / Adventure,2 hrs. 22 min.,PG-13,"$623,357,910 "
166,Mrs. Doubtfire,Fox,24-Nov-93,20468847,"2,354",Family Comedy,2 hrs. 5 min.,PG-13,"$219,195,243 "
380,Lethal Weapon 2,Warner Bros.,7-Jul-89,20388800,"1,830",Action Comedy,1 hrs. 53 min.,R,"$147,253,986 "
533,Clear and Present Danger,Paramount,5-Aug-94,20348017,"2,433",Action Thriller,2 hrs. 21 min.,PG-13,"$122,187,717 "
4,Black Panther,Buena Vista,16-Feb-18,202003951,"4,084",Action / Adventure,2 hrs. 20 min.,PG-13,"$700,059,566 "
364,Rambo: First Blood Part II,TriStar,22-May-85,20176217,"2,074",Action,1 hrs. 34 min.,R,"$150,415,432 "
490,Rocky IV,United Artists,27-Nov-85,19991537,"2,254",Sports Drama,1 hrs. 31 min.,PG,"$127,873,716 "
439,Argo,Warner Bros.,12-Oct-12,19458109,"3,247",Drama / Thriller,2 hrs. 0 min.,R,"$136,025,503 "
391,The Santa Clause,Buena Vista,11-Nov-94,19321992,"2,388",Family Comedy,1 hrs. 37 min.,PG,"$144,833,357 "
18,Avengers: Age of Ultron,Buena Vista,1-May-15,191271109,"4,276",Action / Adventure,2 hrs. 21 min.,PG-13,"$459,005,868 "
526,The Birdcage,MGM,8-Mar-96,18275828,"2,285",Comedy,1 hrs. 57 min.,R,"$124,060,553 "
10,Incredibles 2,Buena Vista,15-Jun-18,182687905,"4,410",Animation,1 hrs. 58 min.,PG,"$608,581,744 "
536,Wayne's World,Paramount,14-Feb-92,18122710,"1,878",Comedy,1 hrs. 35 min.,PG-13,"$121,697,323 "
435,The Green Mile,Warner Bros.,10-Dec-99,18017152,"2,875",Period Drama,3 hrs. 8 min.,R,"$136,801,374 "
31,Captain America: Civil War,Buena Vista,6-May-16,179139142,"4,226",Action / Adventure,2 hrs. 27 min.,PG-13,"$408,084,349 "
14,Beauty and the Beast (2017),Buena Vista,17-Mar-17,174750616,"4,210",Fantasy,2 hrs. 9 min.,PG,"$504,014,165 "
30,Iron Man 3,Buena Vista,3-May-13,174144585,"4,253",Action / Adventure,2 hrs. 9 min.,PG-13,"$409,013,994 "
502,Sleepless in Seattle,TriStar,25-Jun-93,17253733,"1,657",Romantic Comedy,1 hrs. 45 min.,PG,"$126,808,165 "
534,The Hunt for Red October,Paramount,2-Mar-90,17161835,"1,817",Action Thriller,2 hrs. 14 min.,PG,"$122,012,643 "
354,Jerry Maguire,Sony / Columbia,13-Dec-96,17084296,"2,531",Comedy / Drama,2 hrs. 18 min.,R,"$153,952,592 "
98,Home Alone,Fox,16-Nov-90,17081997,"2,173",Family Comedy,1 hrs. 45 min.,PG,"$285,761,243 "
40,Harry Potter and the Deathly Hallows Part 2,Warner Bros.,15-Jul-11,169189427,"4,375",Fantasy,2 hrs. 10 min.,PG-13,"$381,193,157 "
535,The Bodyguard,Warner Bros.,25-Nov-92,16611793,"1,806",Romance,2 hrs. 10 min.,R,"$122,006,740 "
65,Batman v Superman: Dawn of Justice,Warner Bros.,25-Mar-16,166007347,"4,256",Action / Adventure,2 hrs. 31 min.,PG-13,"$330,360,194 "
497,Dumb and Dumber,New Line,16-Dec-94,16363442,"2,565",Comedy,1 hrs. 41 min.,PG-13,"$127,175,374 "
19,The Dark Knight Rises,Warner Bros.,20-Jul-12,160887295,"4,404",Action Thriller,2 hrs. 45 min.,PG-13,"$448,139,099 "
524,Something's Gotta Give,Sony / Columbia,12-Dec-03,16064723,"2,876",Romantic Comedy,2 hrs. 8 min.,PG-13,"$124,728,738 "
12,The Dark Knight,Warner Bros.,18-Jul-08,158411483,"4,366",Action / Adventure,2 hrs. 30 min.,PG-13,"$535,234,033 "
24,The Hunger Games: Catching Fire,Lionsgate,22-Nov-13,158074286,"4,163",Action / Adventure,2 hrs. 26 min.,PG-13,"$424,668,047 "
408,A Few Good Men,Columbia,11-Dec-92,15517468,"2,201",Drama / Thriller,2 hrs. 18 min.,R,"$141,340,178 "
13,Rogue One: A Star Wars Story,Buena Vista,16-Dec-16,155081681,"4,157",Sci-Fi Adventure,2 hrs. 13 min.,PG-13,"$532,177,324 "
23,Captain Marvel ,Buena Vista,8-Mar-19,153433423,"4,310",Action / Adventure,2 hrs. 8 min.,PG-13,"$426,829,839 "
32,The Hunger Games,Lionsgate,23-Mar-12,152535747,"4,137",Action / Adventure,2 hrs. 22 min.,PG-13,"$408,010,692 "
143,Beverly Hills Cop,Paramount,5-Dec-84,15214805,"2,006",Action Comedy,1 hrs. 45 min.,R,"$234,760,478 "
58,Spider-Man 3,Sony / Columbia,4-May-07,151116516,"4,324",Action / Adventure,2 hrs. 20 min.,PG-13,"$336,530,303 "
417,Stuart Little,Sony / Columbia,17-Dec-99,15018223,"3,151",Family Adventure,1 hrs. 24 min.,PG,"$140,035,367 "
480,The Ring,DreamWorks,18-Oct-02,15015393,"2,927",Horror,1 hrs. 49 min.,PG-13,"$129,128,133 "
27,Jurassic World: Fallen Kingdom,Universal,22-Jun-18,148024610,"4,485",Action / Adventure,2 hrs. 8 min.,PG-13,"$417,719,760 "
52,Furious 7,Universal,3-Apr-15,147187040,"4,022",Action,2 hrs. 17 min.,PG-13,"$353,007,020 "
39,Guardians of the Galaxy Vol. 2,Buena Vista,5-May-17,146510104,"4,347",Action / Adventure,2 hrs. 17 min.,PG-13,"$389,813,101 "
539,Speed,Fox,10-Jun-94,14456194,"2,169",Action Thriller,1 hrs. 56 min.,R,"$121,248,145 "
86,The Twilight Saga: New Moon,Summit Entertainment,20-Nov-09,142839137,"4,124",Romance,2 hrs. 10 min.,PG-13,"$296,623,634 "
470,"Honey, I Shrunk the Kids",Buena Vista,23-Jun-89,14262961,"1,498",Family Adventure,1 hrs. 41 min.,PG,"$130,724,172 "
91,The Twilight Saga: Breaking Dawn Part 2,Lionsgate/Summit,16-Nov-12,141067634,"4,070",Romance,1 hrs. 56 min.,PG-13,"$292,324,737 "
101,The Twilight Saga: Breaking Dawn Part 1,Summit Entertainment,18-Nov-11,138122261,"4,066",Romance,1 hrs. 48 min.,PG-13,"$281,287,133 "
469,The Silence of the Lambs,Orion Pictures,14-Feb-91,13766814,"1,642",Thriller,1 hrs. 58 min.,R,"$130,742,922 "
271,There's Something About Mary,Fox,15-Jul-98,13740644,"2,555",Romantic Comedy,1 hrs. 59 min.,R,"$176,484,651 "
134,Ghostbusters,Columbia,8-Jun-84,13578151,"1,506",Horror Comedy,1 hrs. 47 min.,PG,"$242,582,079 "
25,Pirates of the Caribbean: Dead Man's Chest,Buena Vista,7-Jul-06,135634554,"4,133",Period Adventure,2 hrs. 31 min.,PG-13,"$423,315,812 "
550,Hook,TriStar,11-Dec-91,13522535,"2,254",Fantasy,2 hrs. 22 min.,PG,"$119,654,823 "
15,Finding Dory,Buena Vista,17-Jun-16,135060273,"4,305",Animation,1 hrs. 43 min.,PG,"$486,295,561 "
67,Suicide Squad,Warner Bros.,5-Aug-16,133682248,"4,255",Action / Adventure,2 hrs. 10 min.,PG-13,"$325,100,054 "
49,Deadpool,Fox,12-Feb-16,132434639,"3,856",Action,1 hrs. 46 min.,R,"$363,070,709 "
527,City Slickers,Columbia,7-Jun-91,13032121,"2,171",Comedy,1 hrs. 52 min.,PG-13,"$124,033,791 "
76,Iron Man 2,Paramount,7-May-10,128122480,"4,390",Action / Adventure,2 hrs. 5 min.,PG-13,"$312,433,331 "
374,As Good as It Gets,Sony / Columbia,23-Dec-97,12606928,"1,837",Romantic Comedy,2 hrs. 19 min.,PG-13,"$148,478,011 "
68,Deadpool 2,Fox,18-May-18,125507153,"4,349",Action,1 hrs. 59 min.,R,"$324,591,735 "
87,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,19-Nov-10,125017372,"4,125",Fantasy,2 hrs. 30 min.,PG-13,"$296,131,568 "
66,It,Warner Bros. (New Line),8-Sep-17,123403419,"4,148",Horror,2 hrs. 15 min.,R,"$327,481,748 "
75,Thor: Ragnarok,Buena Vista,3-Nov-17,122744989,"4,080",Action / Adventure,2 hrs. 10 min.,PG-13,"$315,058,289 "
170,Ghost,Paramount,13-Jul-90,12191540,"1,766",Romance,2 hrs. 8 min.,PG-13,"$217,631,306 "
57,The Hunger Games: Mockingjay - Part 1,Lionsgate,21-Nov-14,121897634,"4,151",Action / Adventure,2 hrs. 3 min.,PG-13,"$337,135,885 "
69,Shrek the Third,Paramount (DreamWorks),18-May-07,121629270,"4,172",Animation,1 hrs. 32 min.,PG,"$322,719,944 "
416,Look Who's Talking,TriStar,13-Oct-89,12107784,"1,651",Family Comedy,1 hrs. 33 min.,PG-13,"$140,088,813 "
420,Sister Act,Buena Vista,29-May-92,11894587,"2,087",Comedy,1 hrs. 40 min.,PG,"$139,605,150 "
21,E.T.: The Extra-Terrestrial,Universal,11-Jun-82,11835389,"1,778",Family Adventure,1 hrs. 57 min.,PG,"$435,110,554 "
61,Spider-Man: Homecoming,Sony / Columbia,7-Jul-17,117027503,"4,348",Action / Adventure,2 hrs. 13 min.,PG-13,"$334,201,140 "
94,Man of Steel,Warner Bros.,14-Jun-13,116619362,"4,207",Action / Adventure,2 hrs. 23 min.,PG-13,"$291,045,518 "
62,Alice in Wonderland (2010),Buena Vista,5-Mar-10,116101023,"3,739",Family Adventure,1 hrs. 49 min.,PG,"$334,191,110 "
59,Minions,Universal,10-Jul-15,115718405,"4,311",Animation,1 hrs. 31 min.,PG,"$336,045,770 "
34,Spider-Man,Sony / Columbia,3-May-02,114844116,"3,876",Action / Adventure,2 hrs. 1 min.,PG-13,"$403,706,375 "
78,Pirates of the Caribbean: At World's End,Buena Vista,25-May-07,114732820,"4,362",Period Adventure,2 hrs. 48 min.,PG-13,"$309,420,425 "
263,Pretty Woman,Buena Vista,23-Mar-90,11280591,"1,811",Romantic Comedy,1 hrs. 59 min.,R,"$178,406,268 "
342,Who Framed Roger Rabbit,Buena Vista,24-Jun-88,11226239,"1,598",Fantasy Comedy,1 hrs. 43 min.,PG,"$156,452,370 "
188,Back to the Future,Universal,3-Jul-85,11152500,"1,550",Sci-Fi Adventure,1 hrs. 51 min.,PG,"$210,609,762 "
28,Toy Story 3,Buena Vista,18-Jun-10,110307189,"4,028",Animation,1 hrs. 43 min.,G,"$415,004,880 "
36,Transformers: Revenge of the Fallen,Paramount (DreamWorks),24-Jun-09,108966307,"4,293",Sci-Fi Action,2 hrs. 24 min.,PG-13,"$402,111,870 "
42,Star Wars: Episode III - Revenge of the Sith,Fox,19-May-05,108435841,"3,663",Sci-Fi Fantasy,2 hrs. 26 min.,PG-13,"$380,270,577 "
20,Shrek 2,DreamWorks,19-May-04,108037878,"4,223",Animation,1 hrs. 33 min.,PG,"$441,226,247 "
46,The Secret Life of Pets,Universal,8-Jul-16,104352905,"4,381",Animation,1 hrs. 30 min.,PG,"$368,384,330 "
48,The Jungle Book (2016),Buena Vista,15-Apr-16,103261464,"4,144",Adventure,1 hrs. 45 min.,PG,"$364,001,123 "
29,Wonder Woman,Warner Bros.,2-Jun-17,103251471,"4,165",Action / Adventure,2 hrs. 21 min.,PG-13,"$412,563,408 "
144,X-Men: The Last Stand,Fox,26-May-06,102750665,"3,714",Action / Adventure,1 hrs. 44 min.,PG-13,"$234,362,462 "
96,Harry Potter and the Goblet of Fire,Warner Bros.,18-Nov-05,102685961,"3,858",Fantasy,2 hrs. 33 min.,PG-13,"$290,201,752 "
99,The Hunger Games: Mockingjay - Part 2,Lionsgate,20-Nov-15,102665981,"4,175",Action / Adventure,2 hrs. 17 min.,PG-13,"$281,723,902 "
73,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,22-May-08,100137835,"4,264",Period Adventure,2 hrs. 0 min.,PG-13,"$317,101,119 "
131,Transformers: Age of Extinction,Paramount,27-Jun-14,100038390,"4,233",Sci-Fi Action,2 hrs. 45 min.,PG-13,"$245,439,076 "
426,Platoon,Orion Pictures,19-Dec-86,N/A,N/A,War,2 hrs. 0 min.,R,"$138,530,565 "
479,An Officer and a Gentleman,Paramount,30-Jul-82,N/A,N/A,Romance,2 hrs. 2 min.,R,"$129,795,554 "
528,"Good Morning, Vietnam ",Buena Vista,25-Dec-87,N/A,N/A,Comedy / Drama,1 hrs. 59 min.,R,"$123,922,370 "
334,The Sound of Music,Fox,2-Mar-65,N/A,N/A,Musical,2 hrs. 54 min.,G,"$159,287,539 "
503,Smokey and the Bandit,Universal,27-May-77,N/A,N/A,Action Comedy,1 hrs. 36 min.,PG,"$126,737,428 "
