Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
530,The Nutty Professor II: The Klumps,Universal,28-Jul-00,42518830,"3,251",Comedy,1 hrs. 46 min.,PG-13,"$123,309,890 "
108,Shrek,DreamWorks,16-May-01,42347760,"3,715",Animation,1 hrs. 30 min.,PG,"$267,665,011 "
340,Scary Movie,Miramax,7-Jul-00,42346669,"3,301",Horror Comedy,1 hrs. 28 min.,R,"$157,019,771 "
440,Anger Management,Sony (Revolution),11-Apr-03,42220847,"3,656",Comedy,1 hrs. 41 min.,PG-13,"$135,645,823 "
433,The Conjuring,Warner Bros. (New Line),19-Jul-13,41855326,"3,115",Horror,1 hrs. 52 min.,R,"$137,400,141 "
432,Ready Player One,Warner Bros.,29-Mar-18,41764050,"4,234",Sci-Fi Action,2 hrs. 20 min.,PG-13,"$137,690,172 "
218,Ice Age: Dawn of the Dinosaurs,Fox,1-Jul-09,41690382,"4,102",Animation,1 hrs. 27 min.,PG,"$196,573,705 "
414,Ocean's 8,Warner Bros.,8-Jun-18,41607378,"4,145",Action / Adventure,1 hrs. 50 min.,PG-13,"$140,218,711 "
317,Big Daddy,Sony / Columbia,25-Jun-99,41536370,"3,254",Comedy,1 hrs. 33 min.,PG-13,"$163,479,795 "
216,Happy Feet,Warner Bros.,17-Nov-06,41533432,"3,804",Animation,1 hrs. 48 min.,PG,"$198,000,317 "
446,Ride Along,Universal,17-Jan-14,41516170,"2,867",Comedy,1 hrs. 40 min.,PG-13,"$134,938,200 "
454,Grown Ups 2,Sony / Columbia,12-Jul-13,41508572,"3,491",Comedy,1 hrs. 41 min.,PG-13,"$133,668,525 "
249,The Perfect Storm,Warner Bros.,30-Jun-00,41325042,"3,407",Action Drama,2 hrs. 9 min.,PG-13,"$182,618,434 "
399,Kung Fu Panda 3,Fox,29-Jan-16,41282042,"3,987",Animation,1 hrs. 35 min.,PG,"$143,528,619 "
519,The Vow,Sony / Screen Gems,10-Feb-12,41202458,"3,038",Drama,1 hrs. 44 min.,PG-13,"$125,014,030 "
412,Deep Impact,Paramount,8-May-98,41152375,"3,280",Action Drama,2 hrs. 0 min.,PG-13,"$140,464,664 "
488,Shutter Island,Paramount,19-Feb-10,41062440,"3,356",Period Drama,2 hrs. 18 min.,R,"$128,012,934 "
135,Twister,Warner Bros.,10-May-96,41059405,"2,808",Action Drama,1 hrs. 53 min.,PG-13,"$241,721,524 "
307,Casino Royale,Sony / Columbia,17-Nov-06,40833156,"3,443",Action,2 hrs. 24 min.,PG-13,"$167,445,960 "
324,Grown Ups,Sony / Columbia,25-Jun-10,40506562,"3,534",Comedy,1 hrs. 42 min.,PG-13,"$162,001,186 "
